,ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved,CreditScore_Group,Suspicious
6515,6516,Male,Hispanic,65,Over 60,43155,848,243523,Full-time,Bachelor's,Citizen,Limited,No,Yes,Working Class Urban,0,Excellent,True
553,554,Male,White,77,Over 60,95407,848,179737,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
644,645,Male,Black,44,25-60,37881,848,251524,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
3443,3444,Female,Black,58,25-60,93512,848,263183,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
7353,7354,Female,Asian,22,Under 25,26458,848,107572,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
8073,8074,Female,White,56,25-60,47013,848,218674,Part-time,High School,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
1536,1537,Male,Hispanic,67,Over 60,121917,848,207176,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
996,997,Male,White,62,Over 60,33349,848,342927,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
9935,9936,Male,Black,35,25-60,48542,848,152602,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8367,8368,Female,White,21,Under 25,68914,848,420478,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
2659,2660,Female,White,70,Over 60,86536,848,369379,Gig,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
7876,7877,Male,White,23,Under 25,28182,848,75477,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,1,Excellent,True
65,66,Male,Multiracial,26,25-60,42455,848,200822,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional,0,Excellent,True
2693,2694,Male,White,32,25-60,41363,848,389635,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
9245,9246,Female,Hispanic,49,25-60,69002,848,236366,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
9124,9125,Male,Black,32,25-60,173675,848,320252,Self-employed,Graduate,Citizen,Fluent,No,No,Rural,0,Excellent,True
1592,1593,Male,Hispanic,23,Under 25,107538,848,224466,Part-time,High School,Permanent Resident,Limited,No,No,Rural,0,Excellent,True
8709,8710,Male,Black,20,Under 25,107905,848,352790,Full-time,Some College,Permanent Resident,Fluent,Yes,No,Urban Professional,0,Excellent,True
5512,5513,Non-binary,Native American,74,Over 60,163851,848,166408,Part-time,Graduate,Citizen,Fluent,No,Yes,Working Class Urban,0,Excellent,True
5337,5338,Female,Black,62,Over 60,48484,848,359025,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
7741,7742,Female,White,37,25-60,54152,847,399354,Part-time,High School,Citizen,Limited,Yes,Yes,High-income Suburban,0,Excellent,True
6350,6351,Female,White,73,Over 60,102668,847,429066,Full-time,High School,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
5952,5953,Female,Hispanic,19,Under 25,82927,847,428164,Full-time,High School,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
5155,5156,Male,Hispanic,72,Over 60,31202,847,104168,Unemployed,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2639,2640,Male,White,51,25-60,101664,847,372851,Gig,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
5736,5737,Male,Black,46,25-60,25054,847,51487,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
4995,4996,Male,White,63,Over 60,59736,847,226805,Part-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
61,62,Female,Hispanic,77,Over 60,99158,847,369526,Full-time,High School,Visa Holder,Fluent,No,No,High-income Suburban,0,Excellent,True
8589,8590,Female,White,56,25-60,64028,847,284648,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
3665,3666,Female,White,78,Over 60,60287,847,104736,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
6137,6138,Male,White,43,25-60,37167,846,234505,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,1,Excellent,True
8651,8652,Female,White,65,Over 60,73738,846,273849,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
5046,5047,Male,Hispanic,74,Over 60,117633,846,403431,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
6759,6760,Female,Black,37,25-60,85233,846,329629,Unemployed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
3395,3396,Female,White,41,25-60,155837,846,269825,Part-time,Graduate,Visa Holder,Fluent,No,No,Urban Professional,0,Excellent,True
9693,9694,Female,White,63,Over 60,136718,846,129181,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2281,2282,Female,White,60,25-60,156896,846,230501,Self-employed,Graduate,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
7520,7521,Female,White,24,Under 25,151380,846,149794,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
490,491,Female,Black,67,Over 60,39817,846,52550,Full-time,Bachelor's,Citizen,Limited,No,No,Rural,0,Excellent,True
5163,5164,Female,White,25,25-60,163457,846,97627,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
4507,4508,Non-binary,White,18,Under 25,113514,846,158417,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
5310,5311,Male,White,26,25-60,129387,846,196428,Part-time,High School,Permanent Resident,Limited,No,No,High-income Suburban,0,Excellent,True
3733,3734,Male,White,30,25-60,30072,845,239003,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
1830,1831,Male,White,31,25-60,35764,845,152673,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,1,Excellent,True
1051,1052,Female,White,43,25-60,170245,845,327518,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
7523,7524,Male,White,57,25-60,34133,845,351857,Self-employed,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,1,Excellent,True
8788,8789,Male,White,65,Over 60,25192,845,429852,Full-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined,0,Excellent,True
675,676,Male,Black,33,25-60,160724,845,211154,Full-time,High School,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
2137,2138,Male,Black,76,Over 60,42698,845,387982,Unemployed,High School,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
5418,5419,Male,White,45,25-60,47509,845,76954,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8210,8211,Male,White,64,Over 60,116084,845,159605,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
7420,7421,Male,White,53,25-60,41871,845,108439,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
8546,8547,Female,White,77,Over 60,54514,845,172085,Part-time,Some College,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
7337,7338,Male,White,58,25-60,33300,844,413930,Full-time,Bachelor's,Permanent Resident,Limited,No,No,Urban Professional,1,Excellent,True
2701,2702,Female,White,23,Under 25,43270,844,382260,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5469,5470,Female,White,38,25-60,40324,844,135289,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6442,6443,Non-binary,Hispanic,32,25-60,43500,844,159703,Gig,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
4451,4452,Female,White,35,25-60,151149,844,166761,Part-time,Bachelor's,Citizen,Limited,Yes,Yes,Working Class Urban,0,Excellent,True
7152,7153,Female,White,40,25-60,25230,844,125223,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
3698,3699,Male,White,69,Over 60,170194,844,121283,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
2121,2122,Female,White,37,25-60,105756,844,331660,Full-time,High School,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
702,703,Male,Hispanic,49,25-60,159986,844,381972,Part-time,Bachelor's,Citizen,Fluent,Yes,No,Historically Redlined,0,Excellent,True
9573,9574,Female,White,36,25-60,87148,843,86386,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
9575,9576,Male,Black,38,25-60,84294,843,142602,Self-employed,Bachelor's,Permanent Resident,Fluent,No,No,Historically Redlined,0,Excellent,True
9578,9579,Female,White,81,Over 60,157045,843,322571,Full-time,Bachelor's,Citizen,Limited,No,Yes,Urban Professional,0,Excellent,True
5449,5450,Female,Hispanic,63,Over 60,156056,843,333373,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7249,7250,Male,White,48,25-60,116310,843,66418,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Rural,0,Excellent,True
8141,8142,Female,White,30,25-60,71720,843,267617,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
5971,5972,Female,Black,55,25-60,130580,843,160221,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
64,65,Female,Hispanic,57,25-60,166913,843,341753,Gig,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7005,7006,Male,White,46,25-60,44391,843,67799,Part-time,Some College,Citizen,Limited,No,No,Rural,1,Excellent,True
5169,5170,Female,Hispanic,47,25-60,32355,843,298053,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,1,Excellent,True
3354,3355,Female,Black,48,25-60,132120,843,260626,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
6850,6851,Female,White,41,25-60,83291,842,242402,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
1190,1191,Female,White,82,Over 60,51670,842,269977,Part-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
5422,5423,Female,Hispanic,21,Under 25,138988,842,320272,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7750,7751,Female,Asian,57,25-60,93274,842,195689,Full-time,Bachelor's,Citizen,Limited,No,Yes,High-income Suburban,0,Excellent,True
8499,8500,Male,White,29,25-60,155323,842,392562,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
7557,7558,Female,White,47,25-60,124325,842,69561,Full-time,Some College,Visa Holder,Fluent,No,No,High-income Suburban,0,Excellent,True
1387,1388,Female,Hispanic,68,Over 60,53868,842,292288,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
7435,7436,Female,Hispanic,39,25-60,38924,842,193420,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
3620,3621,Male,Hispanic,30,25-60,123182,842,88560,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
145,146,Female,Black,76,Over 60,103622,842,206738,Gig,Bachelor's,Citizen,Limited,Yes,Yes,Urban Professional,0,Excellent,True
7138,7139,Male,Black,70,Over 60,68274,842,353112,Part-time,High School,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
9732,9733,Female,White,27,25-60,100430,842,337220,Full-time,Some College,Visa Holder,Fluent,Yes,No,Working Class Urban,0,Excellent,True
4819,4820,Female,White,50,25-60,71254,842,387770,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
6353,6354,Male,White,21,Under 25,63694,842,94426,Gig,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
7772,7773,Male,Asian,63,Over 60,135094,842,358509,Full-time,Graduate,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
1628,1629,Female,White,58,25-60,54077,842,233680,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
2761,2762,Female,White,19,Under 25,30554,842,108527,Part-time,High School,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
595,596,Male,White,80,Over 60,77611,842,168784,Full-time,High School,Visa Holder,Fluent,No,No,Working Class Urban,0,Excellent,True
4876,4877,Male,White,64,Over 60,58067,841,307757,Unemployed,Some College,Citizen,Fluent,No,No,Rural,0,Excellent,True
8798,8799,Female,Hispanic,78,Over 60,33045,841,55449,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
9356,9357,Female,White,30,25-60,33204,841,417793,Self-employed,Some College,Citizen,Limited,No,No,Rural,1,Excellent,True
7380,7381,Female,Black,44,25-60,60845,841,255640,Self-employed,High School,Citizen,Fluent,Yes,No,Historically Redlined,0,Excellent,True
4868,4869,Female,White,39,25-60,69126,841,147115,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
1295,1296,Male,White,50,25-60,29261,841,441241,Full-time,Graduate,Visa Holder,Fluent,No,Yes,High-income Suburban,1,Excellent,True
5858,5859,Female,White,46,25-60,61685,841,373988,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
223,224,Male,White,68,Over 60,40772,841,293767,Full-time,Graduate,Citizen,Limited,Yes,No,Working Class Urban,0,Excellent,True
4293,4294,Male,Black,54,25-60,145699,841,353346,Full-time,High School,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
4277,4278,Female,White,52,25-60,70687,841,246930,Full-time,High School,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
5245,5246,Male,White,65,Over 60,69115,840,145079,Gig,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
9410,9411,Male,Asian,75,Over 60,85298,840,359058,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1382,1383,Female,White,82,Over 60,42576,840,429704,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1589,1590,Female,Hispanic,57,25-60,108619,840,275431,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
479,480,Female,White,57,25-60,30029,840,230776,Part-time,Graduate,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
3126,3127,Male,White,28,25-60,136738,840,107099,Self-employed,Some College,Visa Holder,Limited,No,Yes,Urban Professional,0,Excellent,True
5703,5704,Female,White,41,25-60,100330,840,161433,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
7888,7889,Female,Hispanic,30,25-60,107156,840,310340,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
1793,1794,Female,White,41,25-60,69501,840,414801,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6640,6641,Female,White,51,25-60,50113,839,414254,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
6614,6615,Male,White,47,25-60,32192,839,147887,Gig,Some College,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
4347,4348,Female,White,77,Over 60,129787,839,204674,Part-time,Bachelor's,Citizen,Limited,No,No,Rural,0,Excellent,True
6363,6364,Female,Hispanic,79,Over 60,83447,839,414579,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
1917,1918,Female,Black,74,Over 60,32961,839,408552,Self-employed,High School,Citizen,Limited,No,Yes,Rural,0,Excellent,True
9068,9069,Female,Asian,66,Over 60,157984,839,221642,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5024,5025,Female,White,81,Over 60,32268,839,332984,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
2291,2292,Non-binary,White,75,Over 60,59007,839,57545,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
4260,4261,Female,Hispanic,20,Under 25,88266,839,358127,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
8972,8973,Male,Black,42,25-60,54460,839,124361,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8947,8948,Male,White,20,Under 25,53958,839,189131,Full-time,High School,Visa Holder,Fluent,No,No,High-income Suburban,0,Excellent,True
2781,2782,Male,White,30,25-60,32190,839,118788,Full-time,Graduate,Citizen,Fluent,No,No,Rural,0,Excellent,True
5406,5407,Female,Asian,40,25-60,145181,839,77494,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
577,578,Male,White,45,25-60,43521,839,120641,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,1,Excellent,True
4754,4755,Male,Hispanic,33,25-60,65860,838,216831,Gig,High School,Visa Holder,Fluent,No,Yes,High-income Suburban,0,Excellent,True
16,17,Male,Hispanic,81,Over 60,121875,838,225615,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
3704,3705,Female,White,70,Over 60,41291,838,186932,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional,0,Excellent,True
5536,5537,Female,Black,29,25-60,47049,838,221575,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
9328,9329,Female,White,75,Over 60,47652,838,136420,Full-time,Graduate,Citizen,Limited,No,No,Rural,0,Excellent,True
4989,4990,Male,Black,76,Over 60,121638,838,169650,Full-time,Graduate,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
5715,5716,Male,White,25,25-60,29513,838,176392,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
6781,6782,Female,White,52,25-60,111958,838,82107,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2308,2309,Female,Hispanic,49,25-60,40204,838,85990,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
694,695,Female,White,26,25-60,107567,838,79138,Full-time,Some College,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
4508,4509,Male,Multiracial,24,Under 25,101930,837,80464,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
1981,1982,Male,White,36,25-60,67161,837,414069,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
2908,2909,Male,White,62,Over 60,61819,837,64702,Self-employed,Graduate,Citizen,Fluent,No,No,Rural,0,Excellent,True
130,131,Female,White,63,Over 60,153814,837,305373,Unemployed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
4646,4647,Male,White,40,25-60,48406,837,282642,Gig,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
643,644,Male,Hispanic,44,25-60,45442,837,295870,Full-time,High School,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
770,771,Male,White,35,25-60,148825,837,382275,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
5547,5548,Female,Hispanic,22,Under 25,44014,837,396175,Part-time,Bachelor's,Citizen,Fluent,No,Yes,Working Class Urban,0,Excellent,True
4675,4676,Male,Hispanic,62,Over 60,129150,837,304778,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
3074,3075,Female,White,61,Over 60,45811,837,255833,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,1,Excellent,True
1176,1177,Non-binary,Hispanic,77,Over 60,83032,837,152340,Gig,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
7702,7703,Male,White,68,Over 60,63557,837,52355,Full-time,High School,Permanent Resident,Fluent,No,No,Urban Professional,0,Excellent,True
1168,1169,Male,Black,71,Over 60,130426,837,350440,Gig,Graduate,Citizen,Fluent,No,Yes,Rural,0,Excellent,True
1323,1324,Male,White,49,25-60,159640,836,379510,Part-time,Graduate,Citizen,Fluent,No,No,Rural,0,Excellent,True
5218,5219,Male,White,44,25-60,57529,836,314939,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
3796,3797,Female,White,24,Under 25,39931,836,370065,Gig,High School,Citizen,Limited,Yes,No,High-income Suburban,0,Excellent,True
8574,8575,Female,Black,80,Over 60,131281,836,282483,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
892,893,Female,White,38,25-60,55248,836,210888,Gig,Some College,Permanent Resident,Fluent,No,No,Historically Redlined,0,Excellent,True
7451,7452,Female,Black,69,Over 60,56290,836,105546,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
238,239,Female,Hispanic,76,Over 60,170062,836,250389,Self-employed,High School,Visa Holder,Fluent,No,Yes,High-income Suburban,0,Excellent,True
6513,6514,Female,White,42,25-60,35628,836,385494,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,1,Excellent,True
7432,7433,Female,White,28,25-60,76378,836,407293,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
8702,8703,Non-binary,White,75,Over 60,38803,836,57345,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban,0,Excellent,True
4667,4668,Female,White,30,25-60,45174,836,375953,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,0,Excellent,True
5737,5738,Female,White,48,25-60,28393,836,121050,Full-time,Bachelor's,Permanent Resident,Limited,No,No,Working Class Urban,1,Excellent,True
9238,9239,Male,Black,69,Over 60,83338,836,133925,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
9599,9600,Male,White,71,Over 60,51732,836,79433,Full-time,Some College,Citizen,Fluent,No,Yes,Working Class Urban,0,Excellent,True
2104,2105,Female,Multiracial,23,Under 25,128582,836,92903,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
5361,5362,Male,White,61,Over 60,120037,836,212377,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,0,Excellent,True
8841,8842,Male,Asian,32,25-60,54029,836,167791,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
4940,4941,Female,White,49,25-60,34775,836,337776,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
3006,3007,Female,White,80,Over 60,133067,836,135431,Full-time,Graduate,Citizen,Fluent,Yes,No,Historically Redlined,0,Excellent,True
4867,4868,Female,Black,80,Over 60,74552,836,350597,Self-employed,Some College,Citizen,Limited,No,No,Urban Professional,0,Excellent,True
2932,2933,Male,Hispanic,32,25-60,66024,835,246462,Full-time,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban,0,Excellent,True
4610,4611,Male,Black,78,Over 60,44007,835,148955,Full-time,High School,Citizen,Fluent,No,No,Rural,0,Excellent,True
3749,3750,Female,White,56,25-60,44943,835,191733,Full-time,Some College,Citizen,Fluent,No,No,Rural,1,Excellent,True
7850,7851,Non-binary,Black,61,Over 60,69068,835,161207,Gig,Graduate,Citizen,Limited,No,No,Rural,0,Excellent,True
5033,5034,Male,Black,42,25-60,125854,835,389615,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,0,Excellent,True
2420,2421,Male,White,62,Over 60,73232,835,220578,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8456,8457,Female,White,35,25-60,45231,835,88847,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
2020,2021,Female,White,53,25-60,51738,835,212750,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8933,8934,Non-binary,White,51,25-60,25206,835,66864,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,0,Excellent,True
8932,8933,Male,Black,67,Over 60,78586,835,93002,Gig,High School,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
8017,8018,Male,White,81,Over 60,46992,835,151767,Part-time,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional,0,Excellent,True
1500,1501,Female,White,41,25-60,101232,834,133711,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,0,Excellent,True
1261,1262,Male,Black,43,25-60,47368,834,52125,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural,1,Excellent,True
3005,3006,Male,Hispanic,57,25-60,45872,834,212518,Full-time,High School,Citizen,Limited,No,No,Historically Redlined,0,Excellent,True
